5 2000 100 20
20 20 20 20 20 
24.7482 15.036 16.1151 26.9065 17.1942 
28.2376 13.7429 12.8768 26.5054 18.6373 
26.842 13.5679 14.2509 25.3063 20.0329 
25.7466 12.8304 13.8696 25.909 21.6444 
22.6135 11.61 14.9435 28.7553 22.0776 
20.8306 11.6492 12.883 31.2608 23.3765 
18.5698 11.1894 14.596 31.9394 23.7054 
15.9059 10.6175 14.3756 32.6364 26.4646 
17.1366 10.921 14.0756 29.8386 28.0282 
16.5329 10.3278 13.2325 32.3972 27.5097 
14.965 9.94857 13.7933 31.7488 29.5443 
13.8865 10.393 13.5469 32.1306 30.0431 
14.0522 10.1728 13.6455 32.653 29.4765 
13.9309 10.5626 13.2513 32.0408 30.2145 
13.2717 10.2363 13.8329 32.9123 29.7469 
12.8535 11.0767 13.9112 32.7774 29.3812 
12.9171 10.346 14.6479 32.0137 30.0752 
12.7966 10.1026 17.1831 29.8566 30.0611 
11.7282 10.6351 15.952 29.6491 32.0356 
20 20 20 20 20 
23.6905 15.6548 18.9286 25.1786 16.5476 
26.9905 14.2589 16.7257 24.0001 18.0248 
23.4143 14.2145 16.46 25.9676 19.9436 
21.7508 14.0941 15.6536 26.3026 22.1989 
20.0967 13.6044 13.3596 28.7251 24.2142 
21.7995 12.793 12.6706 27.2658 25.4712 
19.1912 12.4267 14.1242 27.7032 26.5547 
17.0722 11.5872 13.1369 29.5058 28.6979 
15.4486 10.8627 15.3242 29.7299 28.6347 
13.2289 10.2479 16.6071 30.92 28.9962 
12.8367 10.0128 15.6369 34.7933 26.7203 
13.198 9.87929 15.6574 35.8289 25.4364 
13.22 9.73417 14.678 35.951 26.4169 
13.7529 10.1052 14.72 33.6898 27.7322 
13.1264 9.86028 13.8504 33.6718 29.4911 
12.0932 9.76885 14.2985 34.5778 29.2617 
12.355 9.79097 14.3922 34.8123 28.6495 
11.9553 9.78437 14.3072 35.6284 28.3248 
11.86 10.0392 15.9771 33.7456 28.3781 
20 20 20 20 20 
25.035 16.993 20.1399 22.9371 14.8951 
28.723 15.6111 15.8012 22.5357 17.329 
26.7019 13.9758 16.1985 24.2466 18.8773 
22.3306 13.7226 14.0176 29.6743 20.255 
23.0297 12.5816 14.2122 30.5151 19.6614 
19.5583 12.1604 14.28 31.9967 22.0046 
18.2333 11.1527 15.8357 30.9742 23.8042 
16.4872 10.5564 15.6868 34.6106 22.6591 
16.5769 10.6704 12.9904 32.5014 27.2609 
16.4224 10.1199 12.7153 32.5186 28.2238 
16.2681 10.0362 13.7036 32.61 27.382 
15.5232 9.94423 12.7631 32.0686 29.7009 
15.2035 9.85583 13.3583 33.4761 28.1062 
16.5148 9.92792 14.0705 31.3033 28.1836 
15.2522 10.6634 14.5482 29.9003 29.6358 
14.1283 10.2645 16.9153 30.8695 27.8224 
12.8938 10.065 18.9958 30.2329 27.8125 
12.0775 9.98744 20.5339 31.7831 25.618 
12.5605 10.0662 20.1703 29.9012 27.3017 
20 20 20 20 20 
29.0972 16.25 17.6389 20.7639 16.25 
28.7079 15.2046 15.2354 22.9926 17.8595 
29.9095 14.4912 13.8399 21.7185 20.0409 
29.4445 13.164 12.022 24.1246 21.2449 
25.549 11.5032 14.2787 27.6135 21.0555 
21.8054 12.1393 14.4081 28.1239 23.5234 
20.9027 12.2235 13.1015 26.1132 27.6591 
20.5431 11.8457 13.6608 27.0474 26.903 
20.5657 11.315 13.9383 26.2688 27.9123 
18.0454 10.452 13.3618 26.833 31.3077 
17.3971 10.3984 12.0996 27.9485 32.1563 
16.6798 10.1288 13.7963 29.702 29.6932 
14.3495 10.3529 14.3501 30.2356 30.712 
13.3359 10.1527 15.7058 30.2837 30.5219 
12.1725 9.89288 14.7337 31.6556 31.5453 
11.3363 9.94644 14.3668 31.3278 33.0227 
11.8586 9.97322 15.0406 31.3782 31.7494 
11.5368 9.89315 17.8007 31.1097 29.6598 
13.3721 10.0157 17.6561 29.3797 29.5764 
20 20 20 20 20 
25.7407 16.7901 16.7901 25.7407 14.9383 
26.6704 15.3951 15.1951 27.0704 15.6691 
25.5253 14.9289 15.4488 26.3451 17.7519 
21.9783 13.5429 15.7636 30.4275 18.2877 
19.8369 12.1212 15.0834 34.5553 18.4031 
20.4023 10.8993 15.4046 33.2051 20.0887 
18.1178 10.658 16.869 32.8525 21.5027 
17.1307 10.2617 15.1609 35.933 21.5137 
13.8715 10.0288 14.1111 38.1706 23.8181 
12.7916 9.96937 16.0646 36.8781 24.2964 
12.0264 9.93964 16.3656 36.0066 25.6617 
12.4291 9.83708 16.8111 37.0299 23.8928 
12.8496 9.89484 16.4624 35.5765 25.2165 
11.935 9.84538 20.8843 32.074 25.2613 
10.762 9.71721 20.9444 33.1603 25.4161 
11.0953 10.0967 20.2341 34.9135 23.6604 
10.9775 10.7045 21.203 32.1626 24.9524 
11.0176 10.1599 21.6592 31.7063 25.457 
10.8576 10.4288 20.597 33.7601 24.3564 
