5 80000 300 266
20 20 20 20 20 
18.2609 20 23.913 20.2174 17.6087 
16.3751 19.7387 27.5147 21.2726 15.0989 
15.6705 18.2594 29.9705 21.4073 14.6923 
14.7602 18.5194 31.5346 20.0933 15.0926 
15.3166 18.33 31.5269 20.024 14.8026 
15.855 15.8395 33.3279 20.9019 14.0757 
14.6101 16.3923 34.5637 22.1455 12.2885 
15.2455 17.2532 34.2794 22.1149 11.107 
15.5111 14.8159 36.3144 22.8293 10.5292 
15.0575 16.9377 34.9889 22.8008 10.2151 
15.9277 16.3428 34.4236 23.2114 10.0944 
16.0556 16.1424 32.7915 25.0115 9.99891 
14.5496 15.1045 33.7871 26.0607 10.4982 
13.7496 13.9071 36.5578 24.9009 10.8846 
14.2098 15.022 36.2496 24.1864 10.3323 
14.2305 15.3613 35.1538 25.1367 10.1178 
14.9777 14.9288 35.7587 24.3619 9.97292 
15.9816 14.4022 35.8219 23.9035 9.89076 
15.8266 15.4101 34.9508 23.892 9.92051 
15.5541 15.7479 36.2421 22.4018 10.0541 
16.3205 15.2969 34.6477 23.8059 9.929 
15.7991 13.3429 35.2405 25.653 9.9645 
15.6854 13.4841 34.1653 26.6951 9.97009 
14.7734 14.044 34.7807 26.3426 10.0593 
14.3411 15.4153 34.6565 25.6413 9.94572 
13.9502 15.5769 34.8827 25.2904 10.2997 
13.8106 15.3834 34.7831 25.9363 10.0866 
13.9168 15.5078 34.8628 25.7268 9.98582 
13.798 15.5369 35.0022 25.7172 9.94574 
14.4367 16.1855 33.9584 25.547 9.87237 
14.6033 15.1146 35.139 25.2432 9.89986 
13.9343 14.0624 35.6817 26.3971 9.92442 
14.0023 14.4433 34.8007 26.892 9.86171 
14.2347 13.9475 35.5475 26.3902 9.88009 
15.0255 14.4993 34.9932 25.5675 9.91454 
15.6279 13.5324 35.5594 25.3492 9.93109 
14.9922 14.0682 34.8589 26.1647 9.91604 
13.9355 13.9785 36.4951 25.7086 9.88226 
13.4833 13.0799 36.9444 26.5937 9.89864 
14.629 12.0329 35.5145 27.9447 9.8789 
14.1847 11.2327 36.2051 28.4762 9.90128 
12.7574 11.0351 36.206 30.1248 9.87675 
13.2208 11.1754 35.4714 30.194 9.93837 
12.4299 11.526 36.9756 29.1112 9.95731 
12.1735 10.9443 38.436 28.5453 9.90094 
11.5068 11.8407 36.6977 30.1263 9.82852 
11.5976 11.8944 35.1021 31.5566 9.84932 
12.179 11.9368 36.1708 29.7106 10.0028 
13.2324 12.053 36.6039 28.2151 9.89557 
12.0285 11.4389 36.6009 30.0869 9.84469 
12.1985 10.851 37.2478 29.7803 9.92235 
12.2031 12.0489 35.8966 29.4356 10.4157 
12.5152 12.6998 36.5347 28.0686 10.1817 
13.3805 11.9365 36.4238 28.1404 10.1188 
12.2892 12.2183 37.4827 28.0025 10.0073 
14.1446 13.0322 35.5106 27.3859 9.92673 
15.9219 11.9733 34.422 27.8522 9.83062 
13.7965 11.8222 36.1765 28.3823 9.82247 
13.4316 11.3778 37.1549 28.1912 9.84457 
14.3429 12.3273 35.1029 28.3611 9.86579 
15.3906 11.2321 36.3186 27.1943 9.8644 
17.0268 10.9086 35.5688 26.6891 9.80685 
16.1953 10.4408 36.3828 27.0912 9.88995 
18.0675 10.9606 34.9588 26.0833 9.92987 
17.5269 10.9597 35.6986 25.9184 9.89644 
17.029 11.4419 36.142 25.5608 9.82627 
16.3942 11.0218 36.2658 26.534 9.78419 
16.1917 11.0665 36.1546 26.8171 9.77015 
16.0848 10.4919 37.4988 26.0807 9.84375 
16.0179 10.7674 35.7739 27.6109 9.82985 
17.642 10.7354 36.2356 25.5792 9.80789 
16.2452 10.9738 36.7542 26.1229 9.90395 
15.9208 11.4502 35.5025 27.2816 9.84494 
15.2278 12.1204 34.9024 27.885 9.86433 
14.8525 11.8243 34.8775 28.5538 9.89195 
15.5473 12.4408 32.5661 29.5635 9.88228 
14.4132 12.047 34.9822 28.7384 9.81919 
15.0007 11.0235 35.4323 28.6339 9.90959 
16.7413 11.1223 34.0528 28.1783 9.90529 
17.8945 11.0671 34.1395 27.0356 9.86336 
18.6737 10.8527 34.5469 26.1318 9.7949 
17.748 10.7223 36.4324 25.2154 9.88187 
18.8419 10.3451 34.9364 25.9518 9.92486 
17.8051 10.0506 36.828 25.4759 9.84048 
20.1333 9.94837 36.1063 23.9687 9.84332 
18.2965 9.94313 35.755 26.1148 9.8906 
17.9612 11.2665 36.043 24.9279 9.80142 
18.1869 12.2999 35.958 23.7338 9.82134 
19.3171 11.4215 34.2729 25.1257 9.86275 
19.7937 10.9473 35.0419 24.3872 9.83002 
19.2918 11.2061 34.8776 24.7732 9.85132 
17.8277 12.4212 34.257 25.5684 9.92566 
18.6108 11.2106 34.4012 25.8145 9.96283 
19.807 10.7777 35.2257 24.3493 9.84035 
19.7781 10.2478 35.3244 24.8706 9.77911 
20.8318 10.6795 33.9922 24.7248 9.77171 
21.2686 10.3785 36.5697 22.0523 9.73082 
21.2497 11.1892 37.3618 20.4108 9.78848 
21.8976 11.231 35.4082 21.6599 9.80333 
23.977 10.5451 33.7252 21.9215 9.83124 
23.9312 10.2088 34.697 21.3111 9.85193 
21.8982 9.98658 34.5202 23.7869 9.80812 
20.2143 10.5843 34.193 25.1522 9.85614 
20.3875 10.2766 35.165 24.2583 9.91249 
21.6802 10.0369 34.3055 24.1224 9.85489 
24.414 10.0013 32.273 23.4014 9.91027 
22.8382 10.4824 34.4089 22.3319 9.93852 
24.0042 10.1732 35.912 20.0095 9.90123 
25.7521 10.0866 35.0988 19.1119 9.95062 
25.962 9.9261 34.9322 19.3216 9.85812 
26.1039 9.94644 35.7385 18.2987 9.91245 
24.8069 10.1057 37.0746 18.0897 9.92311 
24.5346 9.97087 37.3897 18.2252 9.87959 
24.9132 9.84925 35.4264 20.0075 9.80361 
23.6606 9.77412 35.6062 20.8733 10.0858 
22.9414 10.611 35.1432 21.3794 9.92503 
23.6658 10.1835 34.4705 21.8395 9.84056 
27.127 10.1898 32.7255 20.1355 9.82224 
28.5295 11.3874 33.1995 17.0405 9.84309 
27.0981 10.8604 34.2664 17.8536 9.92155 
27.8348 10.3622 34.3101 17.6003 9.89275 
28.3732 10.1131 34.8421 16.7933 9.87835 
29.2743 9.96881 34.614 16.2914 9.85145 
